file,url,in_sitemap,recommendation,content_level,word_count,title,dup_title,description,dup_desc,canonical,meta_robots,h1,internal_links
index.html,https://remixes.vincentbastille.online/index.html,no,🔴 CANDIDATE noindex (dup title),OK,982,"Vincent Bastille — House Music, Remixes & DJ Culture",YES,"Vincent Bastille — DJ, producer, remixer. Disco house, afro house, French touch. Remixes of Madonna, Jennifer Lopez, Sade, Modjo. House music guides. Paris · Ibiza · Athens.",YES,https://remixes.vincentbastille.online/,none,VincentBastille,53
remixes/abba-remixes-house-electronique.html,https://remixes.vincentbastille.online/remixes/abba-remixes-house-electronique.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,793,House Music Revival: ABBA Remixes by Vincent Bastille,,"Discover a unique blend of house and electronic music with Vincent Bastille's remixes of ABBA's iconic tracks, now available on Bandcamp for just 10€",,https://vincent-bastille-remixes-legacy.vercel.app/seo-pages/abba-remixes-house-electronique.html,none,🎵 Reviving the House Music Legacy with ABBA Remixes,0
remixes/adele-remixes-deep-house.html,https://remixes.vincentbastille.online/remixes/adele-remixes-deep-house.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,747,Les Schlents Deep House de Adele : Les Remixes Legacy de Vincent Bastille,,"Découvrez les remixes électroniques de Adele par Vincent Bastille, un producteur du Mans, France. Téléchargez l'album Legacy en FLAC ou MP3 sur Bandcamp.",,https://vincent-bastille-remixes-legacy.vercel.app/seo-pages/adele-remixes-deep-house.html,none,🎵 Les Remixes Legacy de Vincent Bastille : Une Rédécouverte de la Soul pour les Têtes Fontaines du Deep House,0
remixes/afro-house-remix-122-bpm.html,https://remixes.vincentbastille.online/remixes/afro-house-remix-122-bpm.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,845,Afro House Remix 122 Bpm — Complete Guide 2026,,"Explore Afro House Remix 122 Bpm from dancefloor to studio: production insights, DJ techniques, and the artists who define the sound in 2026.",,https://remixes.vincentbastille.online/seo-pages/afro-house-remix-122-bpm.html,none,Afro House Remix 122 Bpm,19
remixes/afro-house-remix-124-bpm.html,https://remixes.vincentbastille.online/remixes/afro-house-remix-124-bpm.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,989,Understanding Afro House Remix 124 Bpm — Vincent Bastille,,"The hidden language of Afro House Remix 124 Bpm decoded — how top DJs use it to move crowds, and why it resonates so deeply.",,https://remixes.vincentbastille.online/seo-pages/afro-house-remix-124-bpm.html,none,Afro House Remix 124 Bpm,18
remixes/afro-house-remix-126-bpm.html,https://remixes.vincentbastille.online/remixes/afro-house-remix-126-bpm.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,789,"Afro House Remix 126 Bpm: Culture, Sound & Production",,"The complete Afro House Remix 126 Bpm deep dive: history, production, DJ application, and why it matters more than ever in 2026.",,https://remixes.vincentbastille.online/seo-pages/afro-house-remix-126-bpm.html,none,Afro House Remix 126 Bpm,17
remixes/afro-house-remix-128-bpm.html,https://remixes.vincentbastille.online/remixes/afro-house-remix-128-bpm.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,869,Afro House Remix 128 Bpm — Complete Guide 2026,,"Why is Afro House Remix 128 Bpm taking over underground clubs? Explore the sounds, culture, and production secrets behind this essential style.",,https://remixes.vincentbastille.online/seo-pages/afro-house-remix-128-bpm.html,none,Afro House Remix 128 Bpm,21
remixes/afro-house-remix-archive-entry.html,https://remixes.vincentbastille.online/remixes/afro-house-remix-archive-entry.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,809,"Afro House Remix Archive Entry: Culture, Sound & Production",,"Looking for the best Afro House Remix Archive Entry experience? This guide breaks down the sounds, feelings, and culture behind the style.",,https://remixes.vincentbastille.online/seo-pages/afro-house-remix-archive-entry.html,none,Afro House Remix Archive Entry,19
remixes/afro-house-remix-b-ready-deep-dive.html,https://remixes.vincentbastille.online/remixes/afro-house-remix-b-ready-deep-dive.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,950,"Afro House Remix B-Ready Deep Dive: Culture, Sound & Production",,"The complete Afro House Remix B-Ready Deep Dive deep dive: history, production, DJ application, and why it matters more than ever in 2026.",,https://remixes.vincentbastille.online/seo-pages/afro-house-remix-b-ready-deep-dive.html,none,Afro House Remix B-Ready Deep Dive,17
remixes/afro-house-remix-berlin.html,https://remixes.vincentbastille.online/remixes/afro-house-remix-berlin.html,no,"🟡 REVIEW — OK content, not in sitemap",OK,874,Afro House Remix Berlin Deep Dive | House Music Guide,,From late-night clubs to bedroom listening sessions — how Afro House Remix Berlin creates unforgettable musical moments.,,https://remixes.vincentbastille.online/seo-pages/afro-house-remix-berlin.html,none,Afro House Remix Berlin,19
